StudentID,SpendHours,CountryLive,Gender,AgeRange,EducationLevel,InitialExpectID,InitialExpectValue,EndExpectID,EndExpectValue
8f55dea6b72238ff34b56bfe22036e1cea022200,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
ff390d22ff9bb1c318085284ce686f6a3abd14bb,1 a 2 horas,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
fa8d39e0852dac93a3a906d06292dfa97d0266c0,7 a 8 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
d023c9cadba384fb88ae81ce6bda75c1a4da8726,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
4e9b8953e171d2c2acfd082846377829cf73c675,1 a 2 horas,N/C,N/C,N/C,N/C,1,Poca,5,Excelente
7fe162a065069d8bc418c5201b2c9d8ad9092297,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
016c9b742a39c3784b35e3465e8f171ed1219571,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
c7997b680a301738dddcc479318d185ae8392e3b,5 a 6 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
ac6a340b22c8a559cfc3a21964ab2b0b036934e5,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
ba43c91d3c69f6bc342bb51ebc67bbc0b1b94a24,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
96741693ba3b531cf3186c97a77202d3bea51f72,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
16a8bc90c4ebb176889e4bce4ab8773aca2378ec,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
c687bfbd3c8e3eece8ecf02aac488da93f0722bd,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
fbe025656aaa63dd87a85137484f7d4ddabff8d7,9 horas o mas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
e8c8a9d0bdbba066ba766aebf6f0ffa9e75a5b90,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
a2b9d64c24efd997f3a9041b6bf11da5b0fd04a3,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
5984db729d994e8f5f7772cca2d72e4e13bf3cb5,7 a 8 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
e4a75d46e0fb5cb71f13af95cdd1414fdee5b38e,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
08d9d2098cb86ba1a764e71030bded1e4175da47,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
c48c4800cb8607aaf54ce2f0f5c0d2b9c0cdaed8,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
ee5099cb0d34872ca0c8e7b1e4b6fc782aaf2673,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
be3d6a1c7da9ca71ccdda2c55f925b9c579d20fa,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
d52881b394538f12744878b4cd4656701776047f,5 a 6 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
494ae19b4971d3d6be0be89122d4d3feebf26dc3,9 horas o mas,N/C,N/C,N/C,N/C,4,Muy buena,5,Excelente
e2abcfe581befcb21865361fcf12c6254bf1f82b,3 a 4 horass,N/C,N/C,N/C,N/C,1,Poca,3,Buena
123aa2bf9751c26bf3d53b146f6ce2ecc4ece280,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
3482a26f9da25cfbb59c7d7e7a8ae6e5e5c845ea,1 a 2 horas,N/C,N/C,N/C,N/C,4,Muy buena,4,Muy buena
8c23ea10f89060e8ebb2f770cfea028ec6b06d8b,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
ce8b77f339247af4391c7302b91ed197bf0d58ef,1 a 2 horas,N/C,N/C,N/C,N/C,4,Muy buena,5,Excelente
7e9996f355747d2d2f314c09d9352e0fca7764dc,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
30ce9d394decd8edf514d90ef712efc4ec1ae85b,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
0f111538e22d23ec7cdba0ee9fd3978434715d90,3 a 4 horass,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
b49cff96c033e34fee197c169bc4a4f5f88f6fc0,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
adc899f8345efebbb9dd005b17a240da8c3ba3d9,5 a 6 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
0fa8f752fcc782a7a485e17e0e247ede71849362,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
9561657cace80fff26052762222629efe28a9756,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,3,Buena
e9f5a8adae36f9b80287c34399bb9db5d350153c,3 a 4 horass,N/C,N/C,N/C,N/C,4,Muy buena,4,Muy buena
2383a3a8ee74c67fc22777ef5c692e1949e3ab06,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
95485336b294d5766fbc8712e7441ce887e6e152,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
c10ac3694a29bc630ac77c0a0fee8b45984f1d55,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
0c837ba757632fce9132f0f14228534a4d5aa82f,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
349cda4c26c1ee781b3ce9386abf9195f7ea1caa,7 a 8 horas,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
9d9980e0b06bbfc5815cf17933c74c240905f88b,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
fd6c9ef93f9cd5b1e6239548e4ef86b2b65ef58a,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
1a80aff1d940e41814ceaccab7ad474067dc72b0,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
c58befad38d46709ba83b4178250b27972042b98,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
cbeeb264a321e79bdfe6b477429243cd4f66a649,1 a 2 horas,N/C,N/C,N/C,N/C,1,Poca,5,Excelente
8b981e726c2276080d7e1bdd86131029ef70dec9,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
